full_total_building_area,area_code,lat,long,project_main_usage,number_of_buildings,total_land_area,floor_area_ratio,period_days,land_price,salary_avg_construction,hot_rolled_coil,end_date,start_date,investment
69418.0,440111,23.348477,113.40286,industrial,1.0,28358.0,2.4479159320121306,205.0,,,3348.2727272727275,2025-02-28,2024-08-07,19163.0
21700.0,440114,23.349202,113.234852,industrial,1.0,5446.58,3.984151522606847,364.0,,,3348.2727272727275,2025-08-26,2024-08-27,6000.0
83000.0,440118,23.179967,113.717721,industrial,4.0,,,517.0,,,3671.913043478261,2025-12-30,2024-07-31,30000.0
110910.75,440112,23.173706,113.529453,industrial,2.0,19288.0,5.750246267109083,617.0,,,3348.2727272727275,2026-04-28,2024-08-19,16564.59
34603.05,440111,23.229606,113.290943,industrial,,8132.0,4.255170929660601,730.0,,,3671.913043478261,2026-07-30,2024-07-30,11000.0
39321.0,440113,23.051188,113.43071,public,7.0,41199.88,0.9543959836776225,420.0,,,3671.913043478261,2025-09-17,2024-07-24,27671.7
26346.23,440114,23.433765,113.336754,industrial,3.0,5753.01,4.579555745600998,883.0,,,3671.913043478261,2026-12-30,2024-07-30,2800.0
14572.16,440105,23.098396,113.340299,commercial,,8242.0,1.7680368842513954,731.0,,81755.0,3975.090909090909,2025-11-29,2023-11-29,30942.0
4000.0,440112,23.29394,113.550233,public,2.0,5500.0,0.7272727272727273,366.0,,81755.0,4073.4761904761904,2024-12-30,2023-12-30,2426.0
13165.5,440114,23.450065,113.349874,industrial,3.0,4431.13,2.9711382875248527,305.0,,,3671.913043478261,2025-05-30,2024-07-29,7200.0
50733.5,440118,23.168403,113.844989,industrial,9.0,,,364.0,,,3671.913043478261,2025-07-30,2024-07-31,6392.421
2715.0,440118,23.157305,113.561529,industrial,1.0,2715.0,1.0,378.0,,,3671.913043478261,2025-07-29,2024-07-16,9816.0
165206.19,440118,23.118355,113.5602,commercial,1.0,38193.92,4.325457821559033,240.0,,,3348.2727272727275,2025-04-28,2024-08-31,30000.0
8700.0,440111,23.198038,113.264467,commercial,,8700.0,1.0,730.0,,,3671.913043478261,2026-07-08,2024-07-08,5384.0675
63790.0,440114,23.365394,113.139327,industrial,1.0,15977.25,3.992551909746671,0.0,,81755.0,3885.857142857143,2023-07-17,2023-07-17,31913.0
3896.87,440112,23.173317,113.509816,public,2.0,,,365.0,,,3671.913043478261,2025-07-14,2024-07-14,1988.1795
2340.89,440114,23.260881,113.070227,public,1.0,2257.0,1.0371688081524146,0.0,,,3671.913043478261,2024-07-17,2024-07-17,1495.0
12004.7,440105,23.081108,113.303617,residential,,13831.0,0.8679560407779626,122.0,,,3671.913043478261,2024-11-30,2024-07-31,10500.0
7969.0,440112,23.173317,113.509816,public,2.0,8737.47,0.91,365.0,,,3848.55,2025-05-31,2024-05-31,4351.0
34397.83,440113,22.969584,113.380244,industrial,3.0,,,352.0,,,3671.913043478261,2025-06-29,2024-07-12,27230.5
3999.9,440112,23.185227,113.427171,public,2.0,5036.43,0.79,366.0,,81755.0,3975.090909090909,2024-11-30,2023-11-30,2558.0
6904.0,440112,23.222385,113.560949,industrial,6.0,8630.0,0.8,274.0,,,3671.913043478261,2025-04-29,2024-07-29,7260.0
50768.0,440106,23.139696,113.407041,commercial,,12789.0,3.969661427789507,184.0,,,3671.913043478261,2025-01-14,2024-07-14,15000.0
13155.0,440111,23.193336,113.26157,commercial,,20208.0,0.650979809976247,730.0,,,3671.913043478261,2026-07-31,2024-07-31,33000.0
22509.5,440114,23.461322,113.414863,supporting facilities,,121117.0,0.18584922017553274,2058.0,,,3848.55,2029-12-30,2024-05-12,9000.0
21833.59,440114,23.410542,113.090459,residential,3.0,3095.52,7.053286685274203,335.0,,,3671.913043478261,2025-06-14,2024-07-14,12400.0
2744.59,440114,23.465377,113.221277,public,1.0,,,322.0,,78409.0,4931.3125,2023-01-16,2022-02-28,1300.0
28005.0,440114,23.440619,112.972721,industrial,2.0,7794.0,3.5931485758275596,588.0,,81755.0,3975.090909090909,2025-07-09,2023-11-29,5000.0
66329.0,440113,22.976422,113.458962,industrial,11.0,36541.0,1.8151938917927808,0.0,,81755.0,3975.090909090909,2023-11-14,2023-11-14,26800.0
8657.0,440113,22.926343,113.392502,industrial,1.0,8657.0,1.0,578.0,,,3848.55,2025-12-30,2024-05-31,10758.0
55080.0,440113,22.947775,113.410183,commercial,3.0,11946.0,4.610748367654445,731.0,,81755.0,3673.3,2025-05-31,2023-05-31,23426.99
31624.0,440114,23.366356,113.165974,industrial,4.0,48400.0,0.65,150.0,,,3671.913043478261,2024-12-11,2024-07-14,8300.0
58480.29,440115,22.857624,113.511999,industrial,,28666.81,2.039999916279488,1159.0,,78409.0,3791.9523809523807,2025-11-30,2022-09-28,19500.0
15510.0,440113,23.035476,113.417608,residential,,15510.0,1.0,1147.0,,,3671.913043478261,2027-08-30,2024-07-09,6000.0
32885.0,440113,22.95237,113.438042,industrial,1.0,10000.0,3.01,559.0,,,3671.913043478261,2026-01-31,2024-07-21,25000.0
99785.88,440112,23.29394,113.550233,industrial,,32819.79,3.040417991705614,515.0,,,4064.818181818182,2025-06-29,2024-01-31,7595.5
4473.61,440113,22.912744,113.50479,public,1.0,5066.45,0.88,335.0,,,3848.55,2025-05-01,2024-05-31,1859.1307
20000.0,440115,22.814395,113.535132,mixed use,,8742.0,2.2878059940517046,763.0,,81755.0,3885.857142857143,2025-08-03,2023-07-02,17000.0
27251.0,440118,23.111767,113.620028,commercial,3.0,5757.0,4.7335417752301545,730.0,,,,2026-12-24,2024-12-24,10000.0
14194.0,440118,23.135758,113.626711,commercial,,5484.0,2.588256746900073,730.0,,,3778.8947368421054,2026-06-30,2024-06-30,15500.0
103239.0,440112,23.177313,113.523182,residential,2.0,20327.0,6.16,883.0,,,3848.55,2026-10-29,2024-05-29,34000.0
18323.95,440115,22.586108,113.637397,supporting facilities,,186667.6,0.09816352703950766,183.0,,,3778.8947368421054,2024-12-29,2024-06-29,11250.16
70387.87,440111,23.223942,113.255503,commercial,5.0,23130.0,3.0431418071768266,731.0,,78409.0,4931.3125,2024-02-28,2022-02-27,18000.0
15050.02,440115,22.765837,113.609592,public,1.0,5106.0,2.9475166470818643,0.0,,81755.0,3975.090909090909,2023-11-12,2023-11-12,16893.95
5041.96,440112,23.380985,113.482144,industrial,1.0,5041.96,1.0,273.0,,81755.0,4073.4761904761904,2024-09-29,2023-12-31,6000.0
